Type                                  Module                      Label             Process           
------------------------------------------------------------------------------------------------------
edm::TriggerResults                   "TriggerResults"            ""                "HLT"             
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "RECO"            
double                                "fixedGridRhoAll"           ""                "RECO"            
double                                "fixedGridRhoFastjetAll"    ""                "RECO"            
double                                "fixedGridRhoFastjetAllCalo"   ""                "RECO"            
double                                "fixedGridRhoFastjetCentral"   ""                "RECO"            
double                                "fixedGridRhoFastjetCentralCalo"   ""                "RECO"            
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "RECO"            
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "RECO"            
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedEBRecHits"   "RECO"            
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedEERecHits"   "RECO"            
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedESRecHits"   "RECO"            
edm::TriggerResults                   "TriggerResults"            ""                "RECO"            
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"            
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "RECO"            
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "RECO"            
vector<pat::MET>                      "slimmedMETs"               ""                "RECO"            
vector<pat::MET>                      "slimmedMETsNoHF"           ""                "RECO"            
vector<pat::TriggerObjectStandAlone>    "selectedPatTrigger"        ""                "RECO"            
vector<reco::GsfElectronCore>         "reducedEgamma"             "reducedGedGsfElectronCores"   "RECO"            
vector<reco::PhotonCore>              "reducedEgamma"             "reducedGedPhotonCores"   "RECO"            
vector<reco::SuperCluster>            "reducedEgamma"             "reducedSuperClusters"   "RECO"            
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "RECO"            
edm::TriggerResults                   "TriggerResults"            ""                "FLASHggMicroAOD"   
vector<flashgg::DiPhotonCandidate>    "flashggDiPhotons"          ""                "FLASHggMicroAOD"   
vector<flashgg::Electron>             "flashggSelectedElectrons"   ""                "FLASHggMicroAOD"   
vector<flashgg::Muon>                 "flashggSelectedMuons"      ""                "FLASHggMicroAOD"   
vector<flashgg::Photon>               "flashggRandomizedPhotons"   ""                "FLASHggMicroAOD"   
vector<pat::MET>                      "patCaloMet"                ""                "FLASHggMicroAOD"   
vector<pat::MET>                      "slimmedMETs"               ""                "FLASHggMicroAOD"   
vector<vector<flashgg::Jet> >         "flashggFinalJets"          ""                "FLASHggMicroAOD"   
